PERMNO,date,TICKER,COMNAM,PRC,VOL,RET
10000,01/06/1986,,,,,
10000,01/07/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.56250,1000,C
10000,01/08/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.50000,12800,-0.024390
10000,01/09/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.50000,1400,0.000000
10000,01/10/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.50000,8500,0.000000
10000,01/13/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.62500,5450,0.050000
10000,01/14/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.75000,2075,0.047619
10000,01/15/1986,OMFGA,OPTIMUM MANUFACTURING INC,-2.87500,22490,0.045455
10000,01/16/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.00000,10900,0.043478
10000,01/17/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.00000,8470,0.000000
10000,01/20/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.00000,1000,0.000000
10000,01/21/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.00000,1000,0.000000
10000,01/22/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.00000,2700,0.000000
10000,01/23/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.75000,24000,0.250000
10000,01/24/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.18750,11372,0.116667
10000,01/27/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.43750,16570,0.059701
10000,01/28/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.43750,9600,0.000000
10000,01/29/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.31250,24505,-0.028169
10000,01/30/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.43750,8600,0.028986
10000,01/31/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.37500,4650,-0.014085
10000,02/03/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.37500,3700,0.000000
10000,02/04/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.37500,1500,0.000000
10000,02/05/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.37500,500,0.000000
10000,02/06/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.18750,2000,-0.042857
10000,02/07/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.37500,9300,0.044776
10000,02/10/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.31250,2000,-0.014286
10000,02/11/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.31250,5500,0.000000
10000,02/12/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.21875,2500,-0.021739
10000,02/13/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.21875,500,0.000000
10000,02/14/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.28125,800,0.014815
10000,02/18/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.00000,7300,-0.065693
10000,02/19/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.93750,14000,-0.015625
10000,02/20/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.68750,4000,-0.063492
10000,02/21/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.68750,3000,0.000000
10000,02/24/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.62500,3300,-0.016949
10000,02/25/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.56250,500,-0.017241
10000,02/26/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.25000,7200,-0.087719
10000,02/27/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.25000,12300,0.000000
10000,02/28/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.25000,2900,0.000000
10000,03/03/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.25000,2200,0.000000
10000,03/04/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.43750,10045,0.057692
10000,03/05/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.46875,10800,0.009091
10000,03/06/1986,OMFGA,OPTIMUM MANUFACTURING INC,-3.87500,13355,0.117117
10000,03/07/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.43750,27625,0.145161
10000,03/10/1986,OMFGA,OPTIMUM MANUFACTURING INC,-4.18750,7500,-0.056338
